Time (s),Main Avg Current (mA),Main Avg Power (mW),,
0.1108,393.5,1650.1422,4.195,0.000330147
0.111,390.5,1637.5618,4.195,0.000327629
0.1112,373,1564.1755,4.195,0.000312947
0.1114,389,1631.2715,4.195,0.000326371
0.1116,394,1652.239,4.195,0.000330566
0.1118,388,1627.2719,4.195,0.000325532
0.112,376.5,1578.8528,4.195,0.000315883
0.1122,391.5,1641.7552,4.195,0.000328469
0.1124,394,1652.239,4.195,0.000330566
0.1126,389,1631.4659,4.195,0.000326371
0.1128,372.5,1561.7063,4.195,0.000312528
0.113,371,1555.7886,4.195,0.000311269
0.1132,375,1572.5625,4.195,0.000314625
0.1134,371.5,1557.8853,4.195,0.000311689
0.1136,375,1572.1875,4.195,0.000314625
0.1138,400,1677,4.195,0.0003356
0.114,420.5,1763.3668,4.195,0.000352799
0.1142,419.5,1759.1732,4.195,0.000351961
0.1144,408,1710.948,4.195,0.000342312
0.1146,393.5,1649.7488,4.195,0.000330147
0.1148,421.5,1767.5603,4.195,0.000353639
0.115,422,1769.2351,4.195,0.000354058
0.1152,486.5,2039.1648,4.195,0.000408174
0.1154,581.5,2439.3926,4.195,0.000487878
0.1156,483.5,2027.0739,4.195,0.000405657
0.1158,429.5,1801.3229,4.195,0.000360351
0.116,389,1631.2715,4.195,0.000326371
0.1162,372.5,1562.0787,4.195,0.000312528
0.1164,401,1681.5935,4.195,0.000336439
0.1166,425,1782.45,4.195,0.000356575
