Time (s),Main Avg Current (mA),Main Avg Power (mW),,
0.1056,304.5,1276.9208,4.195,0.000255476
0.1058,293,1228.4026,4.195,0.000245827
0.106,315.5,1323.0493,4.195,0.000264705
0.1062,323,1354.6619,4.195,0.000270997
0.1064,292.5,1226.5988,4.195,0.000245408
0.1066,289,1211.6326,4.195,0.000242471
0.1068,309.5,1297.8883,4.195,0.00025967
0.107,324.5,1360.7908,4.195,0.000272256
0.1072,315,1320.9525,4.195,0.000264285
0.1074,279.5,1172.0833,4.195,0.000234501
0.1076,307.5,1289.5012,4.195,0.000257993
0.1078,309,1295.4825,4.195,0.000259251
0.108,310.5,1302.0818,4.195,0.00026051
0.1082,289,1211.9215,4.195,0.000242471
0.1084,305.5,1280.5033,4.195,0.000256315
0.1086,337,1413.2095,4.195,0.000282743
0.1088,359.5,1507.7429,4.195,0.000301621
0.109,337.5,1415.475,4.195,0.000283163
0.1092,316.5,1326.9263,4.195,0.000265543
0.1094,341.5,1432.0803,4.195,0.000286519
0.1096,342.5,1436.4449,4.195,0.000287357
0.1098,314.5,1319.0129,4.195,0.000263866
0.11,353,1479.9525,4.195,0.000296167
0.1102,413,1731.9155,4.195,0.000346507
0.1104,422.5,1771.7538,4.195,0.000354478
0.1106,414,1736.109,4.195,0.000347346
0.1108,371.5,1558.4425,4.195,0.000311689
0.111,329.5,1381.4288,4.195,0.00027645
0.1112,387,1622.8845,4.195,0.000324693
0.1114,376,1576.756,4.195,0.000315464
0.1116,369.5,1549.4983,4.195,0.00031001
0.1118,370.5,1554.2476,4.195,0.00031085
0.112,322.5,1352.4038,4.195,0.000270577
0.1122,308.5,1293.3862,4.195,0.000258832
0.1124,315,1320.6376,4.195,0.000264285
0.1126,344.5,1444.6608,4.195,0.000289035
0.1128,355.5,1490.9669,4.195,0.000298265
0.113,334.5,1402.7257,4.195,0.000280645
0.1132,302,1266.437,4.195,0.000253378
0.1134,307,1287.558,4.195,0.000257573
0.1136,322,1349.985,4.195,0.000270158
0.1138,333,1396.6019,4.195,0.000279387
0.114,295.5,1238.8838,4.195,0.000247924
0.1142,308,1291.598,4.195,0.000258412
0.1144,318,1333.533,4.195,0.000266802
0.1146,318,1333.533,4.195,0.000266802
0.1148,285,1194.8625,4.195,0.000239115
0.115,307.5,1289.5012,4.195,0.000257992
0.1152,303,1270.6305,4.195,0.000254217
0.1154,277.5,1163.835,4.195,0.000232822
0.1156,262.5,1100.5312,4.195,0.000220238
0.1158,289.5,1214.0183,4.195,0.000242891
0.116,291,1220.3085,4.195,0.000244149
0.1162,292.5,1226.7449,4.195,0.000245408
0.1164,274.5,1151.2529,4.195,0.000230305
0.1166,273,1144.8256,4.195,0.000229047
0.1168,286.5,1201.1512,4.195,0.000240374
0.117,312.5,1310.6249,4.195,0.000262187
0.1172,268.5,1125.9547,4.195,0.000225272
0.1174,250.5,1050.4718,4.195,0.000210169
0.1176,251,1052.6938,4.195,0.000210589
0.1178,248.5,1042.0847,4.195,0.000208491
